id,timestamp,lon,lat,gesture,workshop_id,source,Location
7377,18-04-20 9:17,-0.0130073,51.5236891,1,6,Device 3,1
7378,18-04-20 9:17,-0.0130638,51.5237417,2,6,Device 13,1
7379,18-04-20 9:17,-0.0130716,51.5237612,1,6,Device 23,1
7380,18-04-20 9:17,-0.0130538,51.5237312,2,6,Device 4,1
7381,18-04-20 9:17,-0.0130022,51.5234853,1,6,Device 6,1
7382,18-04-20 9:17,-0.0122685,51.5229907,1,6,Device 2,1
7383,18-04-20 9:17,-0.0130629,51.5237404,2,6,Device 14,1
7384,18-04-20 9:17,-0.0130786,51.5236291,1,6,Device 24,1
7385,18-04-20 9:17,-0.01309,51.5238327,2,6,Device 1,1
7386,18-04-20 9:17,-0.0132157,51.5237947,1,6,Device 10,1
7387,18-04-20 9:17,-0.0130519,51.5237356,2,6,Device 15,1
7388,18-04-20 9:17,-0.0130868,51.5236397,2,6,Device 24,1
7389,18-04-20 9:17,-0.01294933,51.52372361,2,6,Device 8,1
7390,18-04-20 9:18,-0.0130504,51.5237143,2,6,Device 18,1
7391,18-04-20 9:23,-0.0150333,51.5238454,2,6,Device 15,2
7392,18-04-20 9:23,-0.0150947,51.5240878,1,6,Device 6,2
7393,18-04-20 9:23,-0.01501488,51.52401464,4,6,Device 7,2
7394,18-04-20 9:23,-0.014888,51.5239794,5,6,Device 20,2
7395,18-04-20 9:23,-0.0152284,51.5239684,4,6,Device 4,2
7396,18-04-20 9:23,-0.01501687,51.52401278,5,6,Device 7,2
7397,18-04-20 9:23,-0.0150368,51.5238653,5,6,Device 13,2
7398,18-04-20 9:23,-0.0151216,51.5240359,5,6,Device 10,2
7399,18-04-20 9:23,-0.0150928,51.5240045,5,6,Device 23,2
7400,18-04-20 9:23,-0.0150622,51.5240645,5,6,Device 11,2
7401,18-04-20 9:23,-0.0150955,51.5240872,5,6,Device 6,2
7402,18-04-20 9:23,-0.01510764,51.52400888,5,6,Device 8,2
7403,18-04-20 9:23,-0.0151304,51.5239172,5,6,Device 24,2
7404,18-04-20 9:23,-0.0149378,51.5239451,5,6,Device 15,2
7405,18-04-20 9:27,-0.015982,51.5234344,1,6,Device 24,3
7406,18-04-20 9:27,-0.0159183,51.5233576,1,6,Device 3,3
7407,18-04-20 9:27,-0.0159767,51.523481,2,6,Device 10,3
7408,18-04-20 9:27,-0.0158515,51.5234926,4,6,Device 18,3
7409,18-04-20 9:27,-0.0159849,51.5234266,4,6,Device 11,3
7410,18-04-20 9:30,-0.0158866,51.5236449,2,6,Device 11,4
7411,18-04-20 9:30,-0.0159162,51.5236805,4,6,Device 4,4
7412,18-04-20 9:30,-0.0160122,51.5234126,2,6,Device 17,4
7413,18-04-20 9:30,-0.0159104,51.5237613,2,6,Device 14,4
7414,18-04-20 9:30,-0.0160551,51.5233958,4,6,Device 1,4
7415,18-04-20 9:30,-0.0160551,51.5233958,2,6,Device 1,4
7416,18-04-20 9:30,-0.0158823,51.5237089,2,6,Device 24,4
7417,18-04-20 9:34,-0.0152479,51.5233525,4,6,Device 11,5
7418,18-04-20 9:34,-0.0152585,51.5233062,2,6,Device 10,5
7419,18-04-20 9:34,-0.0152441,51.5233401,5,6,Device 24,5
7420,18-04-20 9:34,-0.0151842,51.5233568,1,6,Device 3,5
7421,18-04-20 9:34,-0.0149116,51.5234955,1,6,Device 13,5
7422,18-04-20 9:34,-0.0152258,51.5233396,2,6,Device 1,5
7423,18-04-20 9:34,-0.0151872,51.5234494,2,6,Device 14,5
7424,18-04-20 9:34,-0.0152177,51.5233251,2,6,Device 2,5
7425,18-04-20 9:34,-0.0150854,51.5235065,2,6,Device 15,5
7426,18-04-20 9:34,-0.01524194,51.52334307,2,6,Device 7,5
7427,18-04-20 9:40,-0.0149748,51.5229532,4,6,Device 2,6
7428,18-04-20 9:40,-0.01499367,51.52298189,4,6,Device 7,6
7429,18-04-20 9:40,-0.0150184,51.5229343,2,6,Device 6,6
7430,18-04-20 9:40,-0.0149864,51.5229435,4,6,Device 4,6
7431,18-04-20 9:40,-0.0150137,51.52296,1,6,Device 3,6
7432,18-04-20 9:40,-0.0152293,51.5234884,1,6,Device 13,6
7433,18-04-20 9:40,-0.0149621,51.5230157,4,6,Device 24,6
7434,18-04-20 9:40,-0.0149229,51.5229499,4,6,Device 17,6
7435,18-04-20 9:40,-0.0149674,51.5229933,5,6,Device 10,6
7436,18-04-20 9:44,-0.0128557,51.523169,2,6,Device 1,7
7437,18-04-20 9:44,-0.0130174,51.5232655,5,6,Device 11,7
7438,18-04-20 9:44,-0.0129454,51.5232666,1,6,Device 24,7
7439,18-04-20 9:44,-0.0129681,51.5232068,1,6,Device 3,7
7440,18-04-20 9:44,-0.0129642,51.5232475,2,6,Device 6,7
7441,18-04-20 9:44,-0.0144102,51.5231145,2,6,Device 17,7
7442,18-04-20 9:44,-0.0127868,51.5232766,4,6,Device 15,7
7443,18-04-20 9:44,-0.0129188,51.5232384,4,6,Device 2,7
7444,18-04-20 9:45,-0.0127715,51.5230588,4,6,Device 14,7
