id,timestamp,lon,lat,gesture,workshop_id,source
7234,18-03-28 12:05,-0.0134665,51.5185841,4,2,Device 13
7235,18-03-28 12:06,-0.0133527,51.5185397,4,2,Device 1
7236,18-03-28 12:06,-0.0134004,51.5185038,2,2,Device 12
7237,18-03-28 12:06,-0.0134554,51.5187589,2,2,Device 20
7238,18-03-28 12:06,-0.0133901,51.5185032,2,2,Device 4
7239,18-03-28 12:06,-0.0133574,51.5184858,2,2,Device 11
7240,18-03-28 12:06,-0.0131336,51.518622,2,2,Device 13
7241,18-03-28 12:06,-0.01341407,51.51855937,2,2,Device 9
7242,18-03-28 12:06,-0.0132741,51.5183992,2,2,Device 5
7243,18-03-28 12:12,-0.0104439,51.5177124,5,2,Device 4
7244,18-03-28 12:13,-0.010415,51.5176835,4,2,Device 3
7245,18-03-28 12:13,-0.0103815,51.51769288,4,2,Device 9
7246,18-03-28 12:13,-0.0101703,51.5174345,4,2,Device 5
7247,18-03-28 12:13,-0.0104709,51.5176784,2,2,Device 11
7248,18-03-28 12:13,-0.0133876,51.5185352,5,2,Device 1
7249,18-03-28 12:13,-0.0133876,51.5185352,5,2,Device 1
7250,18-03-28 12:17,-0.0133876,51.5185352,4,2,Device 1
7251,18-03-28 12:17,-0.0098454,51.516272,4,2,Device 11
7252,18-03-28 12:17,-0.0099342,51.5163336,4,2,Device 12
7253,18-03-28 12:17,-0.0133876,51.5185352,5,2,Device 1
7254,18-03-28 12:17,-0.0100167,51.5163065,4,2,Device 20
7255,18-03-28 12:17,-0.0098054,51.5162324,4,2,Device 3
7256,18-03-28 12:17,-0.00990975,51.51631634,4,2,Device 9
7257,18-03-28 12:17,-0.0097981,51.5163263,2,2,Device 5
7258,18-03-28 12:21,-0.0133876,51.5185352,5,2,Device 1
7259,18-03-28 12:21,-0.0101733,51.5163755,4,2,Device 20
7260,18-03-28 12:21,-0.0092277,51.5155041,4,2,Device 4
7261,18-03-28 12:21,-0.0092431,51.5154975,5,2,Device 3
7262,18-03-28 12:25,-0.0093606,51.5155598,4,2,Device 1
7263,18-03-28 12:25,-0.0111559,51.5157219,4,2,Device 12
7264,18-03-28 12:25,-0.0112362,51.5157844,4,2,Device 3
7265,18-03-28 12:25,-0.0113218,51.5157149,5,2,Device 4
7266,18-03-28 12:30,-0.0124412,51.5167063,4,2,Device 20
7267,18-03-28 12:30,-0.01325712,51.51740904,4,2,Device 9
7268,18-03-28 12:30,-0.013256,51.5173546,4,2,Device 5
7269,18-03-28 12:30,-0.0131985,51.5172567,4,2,Device 12
7270,18-03-28 12:30,-0.0132546,51.517355,4,2,Device 3
7271,18-03-28 12:30,-0.0112841,51.5159793,4,2,Device 1
