id,timestamp,lon,lat,gesture,workshop_id,source
7272,2018-03-31 11:38:08,-0.0091066,51.4915174,4,4,Device 5
7273,2018-03-31 11:38:13,-0.0091088,51.4915182,4,4,Device 4
7274,2018-03-31 11:38:17,-0.0119029,51.4872523,2,4,Device 17
7275,2018-03-31 11:38:18,-0.0091192,51.4914943,2,4,Device 12
7276,2018-03-31 11:38:18,-0.0092269,51.491518,4,4,Device 19
7277,2018-03-31 11:38:19,-0.0091522,51.4915109,4,4,Device 15
7278,2018-03-31 11:38:21,-0.0091692,51.4915846,2,4,Device 20
7279,2018-03-31 11:38:27,-0.00918498,51.49156463,2,4,Device 8
7280,2018-03-31 11:38:28,-0.0092229,51.491522,4,4,Device 19
7281,2018-03-31 11:38:29,-0.0092272,51.4915151,2,4,Device 15
7282,2018-03-31 11:38:29,-0.0091709,51.4914084,4,4,Device 6
7283,2018-03-31 11:38:45,-0.0091709,51.4914084,2,4,Device 6
7284,2018-03-31 11:38:45,-0.0091066,51.4915176,5,4,Device 5
7285,2018-03-31 11:38:48,-0.0119029,51.4872523,5,4,Device 17
7286,2018-03-31 11:38:49,-0.0091247,51.4913926,4,4,Device 11
7287,2018-03-31 11:38:49,-0.00914475,51.49153532,5,4,Device 9
7288,2018-03-31 11:38:49,-0.0091223,51.4915072,4,4,Device 12
7289,2018-03-31 11:38:50,-0.0090741,51.4914607,4,4,Device 18
7290,2018-03-31 11:38:56,-0.0089674,51.4914605,4,4,Device 13
7291,2018-03-31 11:39:00,-0.00916148,51.49154142,5,4,Device 8
7292,2018-03-31 11:39:01,-0.0091247,51.4913926,4,4,Device 11
7293,2018-03-31 11:39:02,-0.0091172,51.4915162,5,4,Device 2
7294,2018-03-31 11:39:03,-0.0119029,51.4872523,5,4,Device 17
7295,2018-03-31 11:39:04,-0.0093197,51.4914473,5,4,Device 14
7296,2018-03-31 11:39:06,-0.0091635,51.4914798,5,4,Device 18
7297,2018-03-31 11:39:08,-0.0091259,51.4915343,4,4,Device 5
7298,2018-03-31 11:39:08,-0.009219,51.4914971,5,4,Device 15
7299,2018-03-31 11:39:09,-0.0092109,51.4915372,4,4,Device 19
7300,2018-03-31 11:39:10,-0.0091265,51.4914539,4,4,Device 10
7301,2018-03-31 11:45:08,-0.0077674,51.4919854,2,4,Device 3
7302,2018-03-31 11:45:09,-0.0078405,51.4919749,2,4,Device 2
7303,2018-03-31 11:45:25,-0.0078118,51.4919673,2,4,Device 2
7304,2018-03-31 11:45:30,-0.007952,51.4920164,2,4,Device 6
7305,2018-03-31 11:45:31,-0.0092826,51.4917426,2,4,Device 15
7306,2018-03-31 11:45:33,-0.00916148,51.49154142,2,4,Device 8
7307,2018-03-31 11:45:33,-0.0078094,51.4919574,2,4,Device 10
7308,2018-03-31 11:45:33,-0.0077319,51.4918919,2,4,Device 11
7309,2018-03-31 11:45:33,-0.0078998,51.4920585,2,4,Device 19
7310,2018-03-31 11:45:36,-0.0079323,51.4920095,2,4,Device 1
7311,2018-03-31 11:45:42,-0.0078082,51.4919663,5,4,Device 2
7312,2018-03-31 11:45:42,-0.0077224,51.4919027,2,4,Device 11
7313,2018-03-31 11:45:47,-0.0092826,51.4917426,4,4,Device 15
7315,2018-03-31 11:52:31,-0.0073955,51.4917272,4,4,Device 15
7318,2018-03-31 11:58:15,-0.0054988,51.494573,2,4,Device 20
7321,2018-03-31 11:58:18,-0.0054681,51.4946466,2,4,Device 10
7324,2018-03-31 11:58:19,-0.0078662,51.4937997,2,4,Device 8
7328,2018-03-31 11:58:27,-0.0055134,51.494583,2,4,Device 19
7331,2018-03-31 12:03:51,-0.0100745,51.4954627,2,4,Device 17
